,ID,Eye,Image_path,Label_path
0,1,1,1_1_1/x/faker_6046_1_1_1.jpg,1_1_1/y/faker_6046_1_1_1.png
1,1,1,1_1_1/x/faker_6047_1_1_2.jpg,1_1_1/y/faker_6047_1_1_2.png
2,1,1,1_1_1/x/faker_6048_1_1_3.jpg,1_1_1/y/faker_6048_1_1_3.png
3,1,1,1_1_1/x/faker_6049_1_1_4.jpg,1_1_1/y/faker_6049_1_1_4.png
4,1,1,1_1_1/x/faker_6050_1_1_5.jpg,1_1_1/y/faker_6050_1_1_5.png
5,1,1,1_1_1/x/faker_6051_1_1_6.jpg,1_1_1/y/faker_6051_1_1_6.png
6,1,1,1_1_1/x/faker_6052_1_1_7.jpg,1_1_1/y/faker_6052_1_1_7.png
7,1,1,1_1_1/x/faker_6054_1_1_8.jpg,1_1_1/y/faker_6054_1_1_8.png
8,1,1,1_1_1/x/faker_6055_1_1_9.jpg,1_1_1/y/faker_6055_1_1_9.png
9,1,1,1_1_1/x/faker_6056_1_1_10.jpg,1_1_1/y/faker_6056_1_1_10.png
10,1,1,1_1_1/x/faker_6057_1_1_11.jpg,1_1_1/y/faker_6057_1_1_11.png
11,1,1,1_1_1/x/faker_6058_1_1_12.jpg,1_1_1/y/faker_6058_1_1_12.png
12,1,1,1_1_1/x/faker_6059_1_1_13.jpg,1_1_1/y/faker_6059_1_1_13.png
13,1,1,1_1_1/x/faker_6060_1_1_14.jpg,1_1_1/y/faker_6060_1_1_14.png
14,1,1,1_1_1/x/faker_0_1_1_15.jpg,1_1_1/y/faker_0_1_1_15.png
15,1,1,1_1_1/x/faker_2_1_1_16.jpg,1_1_1/y/faker_2_1_1_16.png
16,1,1,1_1_1/x/faker_3_1_1_17.jpg,1_1_1/y/faker_3_1_1_17.png
17,1,1,1_1_1/x/faker_4_1_1_18.jpg,1_1_1/y/faker_4_1_1_18.png
18,1,1,1_1_1/x/faker_5_1_1_19.jpg,1_1_1/y/faker_5_1_1_19.png
19,1,1,1_1_1/x/faker_6_1_1_20.jpg,1_1_1/y/faker_6_1_1_20.png
20,2,2,2_2_1/x/faker_7_2_1_1.jpg,2_2_1/y/faker_7_2_1_1.png
21,2,2,2_2_1/x/faker_8_2_1_2.jpg,2_2_1/y/faker_8_2_1_2.png
22,2,2,2_2_1/x/faker_9_2_1_3.jpg,2_2_1/y/faker_9_2_1_3.png
23,2,2,2_2_1/x/faker_11_2_1_4.jpg,2_2_1/y/faker_11_2_1_4.png
24,2,2,2_2_1/x/faker_15_2_1_5.jpg,2_2_1/y/faker_15_2_1_5.png
25,2,2,2_2_1/x/faker_16_2_1_6.jpg,2_2_1/y/faker_16_2_1_6.png
26,2,2,2_2_1/x/faker_17_2_1_7.jpg,2_2_1/y/faker_17_2_1_7.png
27,2,2,2_2_1/x/faker_19_2_1_8.jpg,2_2_1/y/faker_19_2_1_8.png
28,2,2,2_2_1/x/faker_20_2_1_9.jpg,2_2_1/y/faker_20_2_1_9.png
29,2,2,2_2_1/x/faker_21_2_1_10.jpg,2_2_1/y/faker_21_2_1_10.png
30,2,2,2_2_1/x/faker_22_2_1_11.jpg,2_2_1/y/faker_22_2_1_11.png
31,2,2,2_2_1/x/faker_23_2_1_12.jpg,2_2_1/y/faker_23_2_1_12.png
32,2,2,2_2_1/x/faker_24_2_1_13.jpg,2_2_1/y/faker_24_2_1_13.png
33,2,2,2_2_1/x/faker_25_2_1_14.jpg,2_2_1/y/faker_25_2_1_14.png
34,2,2,2_2_1/x/faker_26_2_1_15.jpg,2_2_1/y/faker_26_2_1_15.png
35,2,2,2_2_1/x/faker_27_2_1_16.jpg,2_2_1/y/faker_27_2_1_16.png
36,2,2,2_2_1/x/faker_29_2_1_17.jpg,2_2_1/y/faker_29_2_1_17.png
37,2,2,2_2_1/x/faker_30_2_1_18.jpg,2_2_1/y/faker_30_2_1_18.png
38,2,2,2_2_1/x/faker_31_2_1_19.jpg,2_2_1/y/faker_31_2_1_19.png
39,2,2,2_2_1/x/faker_32_2_1_20.jpg,2_2_1/y/faker_32_2_1_20.png
40,3,3,3_3_1/x/faker_34_3_1_1.jpg,3_3_1/y/faker_34_3_1_1.png
41,3,3,3_3_1/x/faker_36_3_1_2.jpg,3_3_1/y/faker_36_3_1_2.png
42,3,3,3_3_1/x/faker_37_3_1_3.jpg,3_3_1/y/faker_37_3_1_3.png
43,3,3,3_3_1/x/faker_38_3_1_4.jpg,3_3_1/y/faker_38_3_1_4.png
44,3,3,3_3_1/x/faker_39_3_1_5.jpg,3_3_1/y/faker_39_3_1_5.png
45,3,3,3_3_1/x/faker_40_3_1_6.jpg,3_3_1/y/faker_40_3_1_6.png
46,3,3,3_3_1/x/faker_41_3_1_7.jpg,3_3_1/y/faker_41_3_1_7.png
47,3,3,3_3_1/x/faker_43_3_1_8.jpg,3_3_1/y/faker_43_3_1_8.png
48,3,3,3_3_1/x/faker_44_3_1_9.jpg,3_3_1/y/faker_44_3_1_9.png
49,3,3,3_3_1/x/faker_46_3_1_10.jpg,3_3_1/y/faker_46_3_1_10.png
50,3,3,3_3_1/x/faker_47_3_1_11.jpg,3_3_1/y/faker_47_3_1_11.png
51,3,3,3_3_1/x/faker_48_3_1_12.jpg,3_3_1/y/faker_48_3_1_12.png
52,3,3,3_3_1/x/faker_49_3_1_13.jpg,3_3_1/y/faker_49_3_1_13.png
53,3,3,3_3_1/x/faker_50_3_1_14.jpg,3_3_1/y/faker_50_3_1_14.png
54,3,3,3_3_1/x/faker_51_3_1_15.jpg,3_3_1/y/faker_51_3_1_15.png
55,3,3,3_3_1/x/faker_52_3_1_16.jpg,3_3_1/y/faker_52_3_1_16.png
56,3,3,3_3_1/x/faker_54_3_1_17.jpg,3_3_1/y/faker_54_3_1_17.png
57,3,3,3_3_1/x/faker_55_3_1_18.jpg,3_3_1/y/faker_55_3_1_18.png
58,3,3,3_3_1/x/faker_57_3_1_19.jpg,3_3_1/y/faker_57_3_1_19.png
59,3,3,3_3_1/x/faker_58_3_1_20.jpg,3_3_1/y/faker_58_3_1_20.png
60,4,3,4_3_2/x/faker_59_3_2_1.jpg,4_3_2/y/faker_59_3_2_1.png
61,4,3,4_3_2/x/faker_60_3_2_2.jpg,4_3_2/y/faker_60_3_2_2.png
62,4,3,4_3_2/x/faker_63_3_2_3.jpg,4_3_2/y/faker_63_3_2_3.png
63,4,3,4_3_2/x/faker_64_3_2_4.jpg,4_3_2/y/faker_64_3_2_4.png
64,4,3,4_3_2/x/faker_65_3_2_5.jpg,4_3_2/y/faker_65_3_2_5.png
65,4,3,4_3_2/x/faker_66_3_2_6.jpg,4_3_2/y/faker_66_3_2_6.png
