ID,Class_ID,Class,Image_path,Label_path
0,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29003.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29003.png
1,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29008.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29008.png
2,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28969.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28969.png
3,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28978.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28978.png
4,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29012.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29012.png
5,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28959.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28959.png
6,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28971.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28971.png
7,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28965.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28965.png
8,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29002.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29002.png
9,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28970.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28970.png
10,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28997.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28997.png
11,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28973.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28973.png
12,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28979.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28979.png
13,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29007.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29007.png
14,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29000.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29000.png
15,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29001.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29001.png
16,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29009.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29009.png
17,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28976.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28976.png
18,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28964.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28964.png
19,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28957.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28957.png
20,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29006.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29006.png
21,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29011.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29011.png
22,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28960.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28960.png
23,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28983.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28983.png
24,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28967.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28967.png
25,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28966.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28966.png
26,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28999.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28999.png
27,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29014.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29014.png
28,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28995.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28995.png
29,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28994.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28994.png
30,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_28974.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_28974.png
31,4,KvasirCapsule-SEG,polyp/KvasirCapsule-SEG/images/131368cc17e44240_29010.jpg,polyp/KvasirCapsule-SEG/masks/131368cc17e44240_29010.png
