ID,Eye,Image_path,Label_path
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_1.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_2.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_3.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_4.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_4.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_5.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_5.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_6.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_6.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_7.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_7.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_8.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_8.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_9.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_9.png
1,1,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/x/faker_1_1_10.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/1_1_1/y/faker_1_1_10.png
2,2,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/x/faker_2_1_1.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/y/faker_2_1_1.png
2,2,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/x/faker_2_1_2.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/y/faker_2_1_2.png
2,2,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/x/faker_2_1_3.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/y/faker_2_1_3.png
2,2,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/x/faker_2_1_4.jpg,/data1/wangjingtao/workplace/python/data/meta-oct/seg/faker_CNV_20230315/2_2_1/y/faker_2_1_4.png
